project,id,mutant,toolASTDifferencing,toolCosine,toolStringDistance,toolVariable,toolSyntax,toolSemantic,s3tool,capgentool,correct
Chart,1,mutant-1,7.0,0.2221825406947977,5.0,0.2857142857142857,0.21963394342762063,0.2701492537313433,12.222182540694797,0.01695255597458394,FALSE
Chart,1,mutant-2,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,TRUE
Chart,11,mutant-1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,FALSE
Chart,11,mutant-2,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,TRUE
Chart,12,mutant-1,8.0,0.0,0.0,1.0,1.0,1.0,8.0,1.0,TRUE
Chart,12,mutant-2,3.0,0.0,0.0,1.0,0.8275862068965517,0.6111111111111112,3.0,0.5057471264367817,FALSE
Chart,13,mutant-1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,FALSE
Chart,13,mutant-10,29.0,0.12022816123485602,4.0,0.5,0.625,0.40397350993377484,33.120228161234856,0.12624172185430463,FALSE
Chart,13,mutant-11,1.0,0.2928932188134524,2.0,0.5,1.0,1.0,3.2928932188134525,0.5,FALSE
Chart,13,mutant-12,1.0,0.0,0.0,1.0,1.0,0.43448275862068964,1.0,0.43448275862068964,FALSE
Chart,13,mutant-13,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,FALSE
Chart,13,mutant-2,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,FALSE
Chart,13,mutant-3,47.0,0.028369068696005972,24.0,0.41379310344827586,0.36003236245954695,0.5887632381978101,71.02836906869601,0.08771330465283747,FALSE
Chart,13,mutant-4,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,FALSE
Chart,13,mutant-5,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,FALSE
Chart,13,mutant-6,51.0,0.09698735773451184,20.0,0.39285714285714285,0.3465991316931983,1.0,71.09698735773452,0.13616394459375647,FALSE
Chart,13,mutant-7,25.0,0.0,0.0,1.0,0.35658914728682173,0.2727272727272727,25.0,0.09725158562367865,FALSE
Chart,13,mutant-8,12.0,0.0834848610088319,1.0,0.6666666666666666,0.08860759493670886,0.07516339869281045,13.083484861008833,0.004440031990292601,FALSE
Chart,13,mutant-9,31.0,0.0,0.0,1.0,1.0,0.6158940397350994,31.0,0.6158940397350994,FALSE
Chart,15,mutant-1,11.0,1.0,6.0,0.0,0.8679245283018868,0.28,18.0,0.0,FALSE
Chart,20,mutant-1,2.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,TRUE
Chart,24,mutant-1,2.0,0.007216724691552434,3.0,0.75,1.0,0.8333333333333334,5.007216724691553,0.625,TRUE
Chart,24,mutant-2,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,FALSE
Chart,25,mutant-1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,FALSE
Chart,25,mutant-10,76.0,0.033507027518147825,39.0,0.2777777777777778,0.4424920127795527,0.15700934579439252,115.03350702751814,0.019298717068267093,FALSE
Chart,25,mutant-100,13.0,0.0,0.0,1.0,0.7044025157232704,0.6384839650145773,13.0,0.44974971120523677,FALSE
Chart,25,mutant-101,13.0,0.0,0.0,1.0,0.7044025157232704,1.0,13.0,0.7044025157232704,FALSE
Chart,25,mutant-105,3.0,0.0,0.0,1.0,0.7363013698630136,0.75,3.0,0.5522260273972602,FALSE
Chart,25,mutant-109,4.0,0.29835358455437655,4.0,0.2,0.71875,1.0,8.298353584554377,0.14375000000000002,FALSE
Chart,25,mutant-11,1.0,1.0,1.0,0.0,1.0,1.0,3.0,0.0,FALSE
Chart,25,mutant-110,4.0,0.29835358455437655,4.0,0.2,0.71875,1.0,8.298353584554377,0.14375000000000002,FALSE
Chart,25,mutant-111,6.0,0.13386886086277328,3.0,0.4,0.9534883720930233,0.7894736842105263,9.133868860862773,0.30110159118727053,FALSE
Chart,25,mutant-112,3.0,0.004140804536061693,1.0,0.8,1.0,1.0,4.004140804536062,0.8,FALSE
Chart,25,mutant-113,1.0,0.0,0.0,1.0,1.0,0.06060606060606061,1.0,0.06060606060606061,FALSE
Chart,25,mutant-116,1.0,0.07908907972761925,2.0,0.6,1.0,0.4864864864864865,3.0790890797276194,0.2918918918918919,FALSE
Chart,25,mutant-12,4.0,0.0,0.0,1.0,0.9732142857142857,0.5768025078369906,4.0,0.5613524406627854,FALSE
Chart,25,mutant-120,18.0,0.0839427751713111,2.0,0.6666666666666666,0.3333333333333333,0.5827338129496403,20.083942775171312,0.12949640287769784,FALSE
Chart,25,mutant-121,1.0,0.0200296533354285,2.0,0.6,1.0,0.4864864864864865,3.0200296533354285,0.2918918918918919,FALSE
Chart,25,mutant-122,14.0,0.005946534390569802,1.0,0.75,0.4393939393939394,0.17094017094017094,15.00594653439057,0.05633255633255633,FALSE
Chart,25,mutant-123,1.0,0.0,0.0,1.0,1.0,0.4864864864864865,1.0,0.4864864864864865,FALSE
Chart,25,mutant-124,3.0,0.0,0.0,1.0,1.0,0.9722222222222222,3.0,0.9722222222222222,FALSE
Chart,25,mutant-125,3.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,FALSE
Chart,25,mutant-126,5.0,0.25533128841386055,7.0,0.2222222222222222,0.37985865724381623,0.37786259541984735,12.25533128841386,0.0318965284708548,FALSE
Chart,25,mutant-127,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,FALSE
