project,id,mutant-id,line_in_buggy,line_in_patched,structural_score,conceptual_score,sum,correct
Chart,13,mutant-9,449,449,0.39,0.474,0.864,False
Chart,13,mutant-2,84,84,1.0,0.939,1.939,False
Chart,13,mutant-1,454,454,1.0,1.0,2.0,False
Chart,13,mutant-5,454,454,1.0,1.0,2.0,False
Chart,13,mutant-8,454,454,0.622,0.704,1.326,False
Chart,13,mutant-6,453,453,0.829,0.773,1.602,False
Chart,13,mutant-4,84,84,1.0,0.939,1.939,False
Chart,13,mutant-13,454,454,1.0,0.926,1.926,False
Chart,13,mutant-3,444,444,0.854,0.8,1.654,False
Chart,13,mutant-11,450,450,1.0,1.0,2.0,False
Chart,13,mutant-10,449,449,0.421,0.5,0.921,False
Chart,13,mutant-7,84,84,0.789,0.909,1.698,False
Chart,13,mutant-12,450,450,1.0,1.0,2.0,False
Chart,11,mutant-2,275,275,1.0,1.0,2.0,True
Chart,11,mutant-1,274,274,1.0,1.0,2.0,False
Chart,5,mutant-2,527,527,1.0,1.0,2.0,False
Chart,5,mutant-1,563,563,0.882,0.789,1.671,False
Chart,12,mutant-2,161,161,0.913,0.917,1.83,False
Chart,12,mutant-1,145,145,0.864,0.943,1.807,True
Chart,15,mutant-1,1219,1219,0.462,0.577,1.039,False
Chart,20,mutant-1,95,95,1.0,0.933,1.933,True
Chart,1,mutant-2,1797,1797,1.0,1.0,2.0,True
Chart,1,mutant-1,1797,1797,0.826,0.87,1.696,False
Chart,25,mutant-227,2560,2560,0.815,0.75,1.565,False
Chart,25,mutant-203,2868,2868,1.0,0.953,1.953,False
Chart,25,mutant-131,1318,1318,0.833,0.881,1.714,False
Chart,25,mutant-27,2559,2559,0.6,0.688,1.288,False
Chart,25,mutant-253,564,564,0.692,0.812,1.504,False
Chart,25,mutant-24,524,524,0.815,0.844,1.659,False
Chart,25,mutant-155,108,108,0.688,0.897,1.585,False
Chart,25,mutant-230,2673,2673,0.605,0.636,1.241,False
Chart,25,mutant-246,577,577,1.0,0.909,1.909,False
Chart,25,mutant-244,575,575,1.0,0.857,1.857,False
Chart,25,mutant-69,418,418,0.733,0.85,1.583,False
Chart,25,mutant-50,526,526,1.0,0.881,1.881,False
Chart,25,mutant-248,570,570,0.619,0.714,1.333,False
Chart,25,mutant-9,2672,2672,1.0,0.818,1.818,False
Chart,25,mutant-135,1318,1318,0.872,0.884,1.756,False
Chart,25,mutant-86,2855,2855,0.769,0.837,1.606,False
Chart,25,mutant-232,2558,2558,0.778,0.875,1.653,False
Chart,25,mutant-78,2559,2559,0.517,0.579,1.096,False
Chart,25,mutant-171,273,273,0.4,0.615,1.015,False
Chart,25,mutant-170,126,126,0.857,0.882,1.739,False
Chart,25,mutant-162,111,111,0.773,0.778,1.551,False
Chart,25,mutant-266,95,95,0.667,0.667,1.334,False
Chart,25,mutant-116,2867,2867,1.0,0.979,1.979,False
Chart,25,mutant-57,524,524,1.0,0.848,1.848,False
Chart,25,mutant-212,239,239,1.0,0.929,1.929,False
Chart,25,mutant-23,527,527,0.894,0.865,1.759,False
Chart,25,mutant-251,577,577,1.0,0.909,1.909,False
Chart,25,mutant-185,299,299,0.792,0.727,1.519,False
Chart,25,mutant-149,248,248,0.5,0.7,1.2,False
Chart,25,mutant-20,528,528,1.0,0.935,1.935,False
Chart,25,mutant-272,2863,2863,1.0,0.98,1.98,False
Chart,25,mutant-30,528,528,1.0,0.935,1.935,False
Chart,25,mutant-257,574,574,0.079,0.091,0.17,False
Chart,25,mutant-109,2861,2861,0.838,0.854,1.692,False
Chart,25,mutant-17,528,528,1.0,0.935,1.935,False
Chart,25,mutant-15,358,358,0.733,0.85,1.583,False
Chart,25,mutant-163,111,111,0.773,0.778,1.551,False
Chart,25,mutant-31,528,528,1.0,0.935,1.935,False
Chart,25,mutant-77,2558,2558,0.6,0.688,1.288,False
Chart,25,mutant-147,2863,2863,0.8,0.923,1.723,False
Chart,25,mutant-209,237,237,0.679,0.781,1.46,False
Chart,25,mutant-243,575,575,1.0,0.857,1.857,False
Chart,25,mutant-2,2860,2860,0.724,0.818,1.542,False
Chart,25,mutant-58,524,524,1.0,0.848,1.848,False
Chart,25,mutant-1,2672,2672,1.0,0.818,1.818,False
