tool,project,id,mutant-id,line_in_buggy,line_in_patched,structural_score,conceptual_score,sum,correct
Arja,Chart,12,0,[148],[148],[0.778],[0.8],1.578,True
Arja,Math,58,0,[121],[121],[0.667],[0.81],1.477,True
Arja,Math,98,0,[991],[991],[0.838],[0.946],1.784,True
Arja,Closure,115,0,[731],[731],[0.938],[0.75],1.688,True
Arja,Closure,126,0,[137],[137],[0],[0],0.0,True
jGenProg,Math,5,0,"[305, 338, 361, 395, 408, 436]","[305, 321, 329, 349, 359, 384]","[0.846, 0.0, 0.0, 0.2, 0.2, 0.0]","[0.6, 0.0, 0.0, 0.0, 0.0, 0.031]",0.313,True
jGenProg,Math,70,0,[72],[72],[0.826],[1.0],1.826,True
jGenProg,Math,53,0,"[153, 175, 216]","[153, 178, 219]","[0.267, 0.333, 0.391]","[0.531, 1.0, 0.87]",1.131,True
Nopol,Lang,46,0,[244],[244],[0.571],[0.5],1.071,True
FixMiner,Chart,11,0,[274],[274],[1.0],[1.0],2.0,True
FixMiner,Chart,19,0,"[698, 973]","[698, 976]","[0.579, 0.632]","[0.552, 0.586]",1.174,True
FixMiner,Chart,1,0,[1797],[1797],[1.0],[1.0],2.0,True
FixMiner,Chart,24,0,[125],[125],[1.0],[0.967],1.967,True
FixMiner,Chart,4,0,"[4493, 4503]","[4493, 4504]","[0.619, 0.6]","[0.647, 0.583]",1.224,True
FixMiner,Math,75,0,[303],[303],[1.0],[0.923],1.923,True
FixMiner,Math,70,0,[72],[72],[0.826],[1.0],1.826,True
FixMiner,Math,34,0,[209],[209],[0.625],[0.9],1.525,True
FixMiner,Math,22,0,[275],[275],[1.0],[0.8],1.8,True
FixMiner,Math,79,0,[1624],[1624],[1.0],[0.704],1.704,True
FixMiner,Math,57,0,[175],[175],[1.0],[0.946],1.946,True
FixMiner,Math,30,0,[173],[173],[1.0],[0.889],1.889,True
jMutRepair,Chart,1,0,[1797],[1797],[1.0],[1.0],2.0,True
jMutRepair,Math,85,0,[198],[198],[1.0],[0.912],1.912,True
jMutRepair,Math,82,0,[82],[82],[1.0],[0.96],1.96,True
jMutRepair,Closure,63,0,[98],[98],[1.0],[1.0],2.0,True
jMutRepair,Closure,62,0,[98],[98],[1.0],[1.0],2.0,True
DynaMoth,Math,50,0,[188],[188],[0.094],[0.048],0.142,True
Cardumen,Chart,11,0,[274],[274],[1.0],[1.0],2.0,True
Cardumen,Math,70,0,[72],[72],[0.826],[1.0],1.826,True
GenProg,Closure,115,0,[731],[731],[0.938],[0.75],1.688,True
GenProg,Closure,126,0,[143],[143],[0.737],[0.545],1.282,True
TBar,Chart,11,0,[274],[274],[1.0],[1.0],2.0,True
TBar,Chart,19,0,"[698, 973]","[698, 976]","[0.579, 0.632]","[0.552, 0.586]",1.174,True
TBar,Chart,20,0,[95],[95],[1.0],[0.933],1.933,True
TBar,Chart,1,0,[1797],[1797],[1.0],[1.0],2.0,True
TBar,Chart,24,0,[126],[126],[1.0],[0.933],1.933,True
TBar,Chart,4,0,"[4493, 4503]","[4493, 4504]","[0.619, 0.6]","[0.647, 0.583]",1.224,True
TBar,Chart,9,0,[944],[944],[0.52],[0.72],1.24,True
TBar,Math,11,0,[183],[183],[0.824],[0.903],1.727,True
TBar,Math,5,0,[305],[305],[1.0],[0.75],1.75,True
TBar,Math,75,0,[303],[303],[1.0],[0.923],1.923,True
TBar,Math,65,0,[258],[258],[1.0],[1.0],2.0,True
TBar,Math,89,0,[110],[110],[0.522],[0.44],0.962,True
TBar,Math,70,0,[72],[72],[0.826],[1.0],1.826,True
TBar,Math,79,0,[1624],[1624],[1.0],[0.704],1.704,True
TBar,Math,57,0,[175],[175],[1.0],[0.946],1.946,True
TBar,Closure,63,0,[98],[98],[1.0],[1.0],2.0,True
TBar,Closure,73,0,[1045],[1045],[1.0],[0.6],1.6,True
