id,label,methodCallWithNullGuard,faultyClassExceptionType,methodCallWithTryCatch,typeOfFaultyStmtAfter1,typeOfFaultyStmtAfter2,typeOfFaultyStmtAfter3,typeOfFaultyStmtBefore1,typeOfFaultyStmtBefore2,typeOfFaultyStmtBefore3,typeOfFaultyStmtParent,hasObjectiveMethodCall,hasInvocationsProneException,inSynchronizedMethod,localVarNotAssigned,localVarNotUsed,similarObjectTypeWithNormalGuard,similarObjectTypeWithNullGuard,typeOfFaultyStmt,fieldNotAssigned,fieldNotUsed,similarPrimitiveTypeWithNormalGuard,similarPrimitiveTypeWithNullGuard,methodThrowsException,objectUsedInAssignment,primitiveUsedInAssignment,methodCallWithNormalGuard
Patch196Math_5,0, 0, 0, 0, "Return", "", "", "", "", "", "If", 0, 0, 0, 0, 0, 0, 0, "If", 0, 0, 0, 0, 0, 0, 0, 0
Patch45Math_50,0, 0, 0, 0, "Break", "", "", "", "", "", "Case", 0, 0, 0, 0, 0, 0, 0, "If", 0, 0, 0, 0, 0, 0, 0, 0
Patch194Math_3,0, 0, 0, 0, "LocalVariable", "LocalVariable", "LocalVariable", "LocalVariable", "For", "LocalVariable", "Method", 0, 0, 0, 0, 0, 0, 0, "If", 0, 0, 0, 0, 1, 0, 0, 0
Patch47Math_53,0, 0, 0, 0, "Return", "", "", "Invocation", "", "", "Method", 0, 0, 0, 0, 0, 0, 0, "If", 0, 0, 0, 0, 1, 0, 0, 0
Patch209Math_99,0, 0, 0, 0, "If", "Return", "", "", "", "", "If", 0, 0, 0, 0, 0, 0, 0, "If", 0, 0, 0, 0, 0, 0, 0, 0
Patch3Chart_3,1, 0, 0, 0, "Assignment", "LocalVariable", "If", "If", "", "", "Method", 0, 0, 0, 0, 0, 0, 0, "Invocation", 0, 0, 0, 0, 0, 0, 0, 0
PatchHDRepair7Math_70,0, 0, 0, 0, "", "", "", "", "", "", "Method", 0, 0, 0, 0, 0, 0, 0, "Return", 0, 0, 0, 0, 1, 0, 0, 0
Patch190Lang_7,0, 0, 0, 0, "Return", "", "", "", "", "", "If", 0, 0, 0, 0, 0, 0, 0, "If", 0, 0, 0, 0, 1, 0, 0, 0
Patch189Chart_19,0, 0, 0, 0, "Return", "", "", "", "", "", "Method", 0, 0, 0, 0, 0, 0, 0, "If", 0, 0, 0, 0, 0, 0, 0, 0
Patch191Lang_24,0, 0, 0, 0, "Return", "", "", "", "", "", "If", 0, 0, 0, 0, 0, 0, 0, "If", 0, 0, 0, 0, 0, 0, 0, 0
Patch188Chart_14,0, 0, 0, 0, "LocalVariable", "If", "Return", "If", "LocalVariable", "", "Method", 0, 0, 0, 0, 0, 0, 0, "If", 0, 0, 0, 0, 0, 0, 0, 0
Patch205Math_89,0, 0, 0, 0, "Invocation", "", "", "", "", "", "Method", 0, 0, 0, 0, 0, 0, 0, "If", 0, 0, 0, 0, 0, 0, 0, 0
Patch25Lang_55,0, 0, 0, 0, "Assignment", "", "", "If", "", "", "Method", 0, 0, 0, 0, 0, 0, 0, "If", 0, 0, 0, 0, 0, 0, 0, 0
Patch46Math_50,0, 0, 0, 0, "", "", "", "", "", "", "If", 0, 0, 0, 0, 0, 0, 0, "Switch", 0, 0, 0, 0, 0, 0, 0, 0
Patch54Math_73,0, 0, 0, 0, "", "", "", "If", "If", "LocalVariable", "Method", 0, 0, 0, 0, 0, 0, 0, "Return", 0, 0, 0, 0, 1, 0, 0, 0
Patch203Math_82,0, 0, 0, 0, "", "", "", "LocalVariable", "LocalVariable", "", "For", 0, 0, 0, 0, 0, 0, 0, "If", 0, 0, 0, 0, 0, 0, 0, 0
Patch29Math_5,0, 0, 0, 0, "", "", "", "", "", "", "If", 0, 0, 0, 0, 0, 0, 0, "Return", 0, 0, 0, 0, 0, 0, 0, 0
Patch21Lang_44,0, 0, 0, 0, "", "", "", "LocalVariable", "LocalVariable", "If", "If", 0, 0, 0, 0, 0, 0, 0, "Switch", 0, 0, 0, 0, 1, 0, 0, 0
Patch207Math_93,0, 0, 0, 0, "", "", "", "", "", "", "Class", 0, 0, 0, 0, 0, 0, 0, "Method", 0, 0, 0, 0, 0, 0, 0, 0
PatchHDRepair4Math_34,0, 0, 0, 0, "", "", "", "", "", "", "Method", 1, 0, 0, 0, 0, 0, 0, "Return", 0, 0, 0, 0, 0, 0, 0, 0
Patch51Math_70,0, 0, 0, 0, "", "", "", "", "", "", "Method", 0, 0, 0, 0, 0, 0, 0, "Return", 0, 0, 0, 0, 1, 0, 0, 0
Patch44Math_50,0, 0, 0, 0, "Break", "", "", "", "", "", "Case", 0, 0, 0, 0, 0, 0, 0, "If", 0, 0, 0, 0, 0, 0, 0, 0
Patch206Math_90,0, 0, 0, 0, "", "", "", "If", "LocalVariable", "", "Method", 1, 0, 0, 0, 0, 0, 0, "Try", 0, 0, 0, 0, 0, 0, 0, 0
Patch210Time_15,0, 0, 0, 0, "LocalVariable", "If", "Return", "", "", "", "Method", 0, 0, 0, 0, 0, 0, 0, "Switch", 0, 0, 0, 0, 0, 0, 0, 0
Patch197Math_25,0, 0, 0, 0, "", "", "", "LocalVariable", "LocalVariable", "LocalVariable", "Method", 0, 0, 0, 0, 0, 0, 0, "If", 0, 0, 0, 0, 0, 0, 0, 0
Patch195Math_4,0, 0, 0, 0, "LocalVariable", "LocalVariable", "If", "LocalVariable", "", "", "Method", 0, 0, 0, 0, 0, 0, 0, "If", 0, 0, 0, 0, 0, 0, 0, 0
Patch204Math_85,0, 0, 0, 0, "Return", "", "", "Do", "LocalVariable", "LocalVariable", "Method", 0, 0, 0, 0, 0, 0, 0, "If", 0, 0, 0, 0, 1, 0, 0, 0
Patch7Chart_5,0, 0, 0, 0, "If", "", "", "", "", "", "If", 0, 0, 0, 0, 0, 0, 0, "If", 0, 0, 0, 0, 0, 0, 0, 0
PatchHDRepair10Time_19,0, 0, 0, 0, "", "", "", "", "", "", "If", 0, 0, 0, 0, 0, 0, 0, "If", 0, 0, 0, 0, 0, 0, 0, 0
Patch42Math_49,1, 0, 0, 0, "", "", "", "Invocation", "", "", "Method", 0, 0, 0, 0, 0, 0, 0, "If", 0, 0, 0, 0, 0, 0, 0, 0
Patch154Math_2,1, 0, 0, 0, "", "", "", "", "", "", "If", 0, 0, 0, 0, 0, 0, 0, "If", 0, 0, 0, 0, 1, 0, 0, 0
Patch17Chart_25,1, 0, 0, 0, "", "", "", "LocalVariable", "LocalVariable", "If", "Method", 0, 0, 0, 0, 0, 0, 0, "If", 0, 0, 0, 0, 0, 0, 0, 0
Patch9Chart_13,1, 0, 0, 0, "Assignment", "Assignment", "LocalVariable", "LocalVariable", "If", "LocalVariable", "Method", 0, 0, 0, 0, 0, 0, 0, "If", 0, 0, 0, 0, 0, 0, 0, 0
Patch83Time_11,1, 0, 0, 0, "", "", "", "", "", "", "If", 0, 0, 0, 0, 0, 0, 0, "If", 0, 0, 0, 0, 0, 0, 0, 0
Patch10Chart_13,1, 0, 0, 0, "", "", "", "", "", "", "Class", 1, 0, 0, 0, 0, 0, 0, "Method", 0, 0, 0, 0, 0, 0, 0
Patch182Time_11,1, 0, 0, 0, "", "", "", "", "", "", "If", 0, 0, 0, 0, 0, 0, 0, "If", 0, 0, 0, 0, 0, 0, 0, 0
Patch32Math_28,1, 0, 0, 0, "", "", "", "LocalVariable", "LocalVariable", "", "For", 1, 0, 0, 0, 0, 0, 0, "If", 0, 0, 0, 0, 0, 0, 0, 0
PatchHDRepair6Math_53,1, 0, 0, 0, "", "", "", "Invocation", "", "", "Method", 1, 0, 0, 0, 0, 0, 0, "Return", 0, 0, 0, 0, 1, 0, 0, 0
Patch201Math_73,1, 0, 0, 0, "Return", "", "", "If", "If", "LocalVariable", "Method", 0, 0, 0, 0, 0, 0, 0, "If", 0, 0, 0, 0, 1, 0, 0, 0
Patch80Time_4,1, 0, 0, 0, "", "", "", "", "", "", "Method", 0, 0, 0, 0, 0, 0, 0, "Return", 0, 0, 0, 0, 0, 0, 0, 0
Patch202Math_81,1, 0, 0, 0, "If", "", "", "LocalVariable", "If", "LocalVariable", "If", 0, 0, 0, 0, 0, 0, 0, "If", 0, 0, 0, 0, 0, 0, 0, 0
Patch1Chart_1,1, 0, 0, 0, "", "", "", "", "", "", "Class", 1, 0, 0, 0, 0, 0, 0, "Method", 0, 0, 0, 0, 0, 0, 0
Patch186Time_18,1, 0, 0, 0, "Return", "", "", "Invocation", "Invocation", "", "Method", 0, 0, 0, 0, 0, 0, 0, "If", 0, 0, 0, 0, 0, 0, 0, 0
