id,label,methodCallWithNullGuard,faultyClassExceptionType,methodCallWithTryCatch,typeOfFaultyStmtAfter1,typeOfFaultyStmtAfter2,typeOfFaultyStmtAfter3,typeOfFaultyStmtBefore1,typeOfFaultyStmtBefore2,typeOfFaultyStmtBefore3,typeOfFaultyStmtParent,hasObjectiveMethodCall,hasInvocationsProneException,inSynchronizedMethod,localVarNotAssigned,localVarNotUsed,similarObjectTypeWithNormalGuard,similarObjectTypeWithNullGuard,typeOfFaultyStmt,fieldNotAssigned,fieldNotUsed,similarPrimitiveTypeWithNormalGuard,similarPrimitiveTypeWithNullGuard,methodThrowsException,objectUsedInAssignment,primitiveUsedInAssignment,methodCallWithNormalGuard
Arja_patch_Defects4J_Chart_3_0_7,1, 0, 0, 0, Invocation, , , , , , Method, 0, 0, 0, 0, 0, 0, 0, Invocation, 0, 0, 0, 0, 0, 0, 0, 0
RSRepair_patch_Defects4J_Math_8_0_51,1, 0, 0, 0, Return, , , LocalVariable, If, , Method, 0, 0, 0, 0, 0, 0, 0, LocalVariable, 0, 0, 0, 0, 1, 0, 0, 0
GenProg_patch_Defects4J_Chart_1_0_36,1, 0, 0, 0, LocalVariable, If, Return, LocalVariable, LocalVariable, If, Method, 0, 0, 0, 0, 0, 0, 0, If, 0, 0, 0, 0, 0, 0, 0, 0
GenProg_patch_Defects4J_Chart_25_0_220,1, 0, 0, 0, Return, , , , , , Method, 0, 0, 0, 0, 0, 0, 0, LocalVariable, 0, 0, 0, 0, 0, 0, 0, 0
Arja_patch_Defects4J_Lang_63_0_47,1, 0, 0, 0, LocalVariable, LocalVariable, LocalVariable, LocalVariable, LocalVariable, Invocation, Method, 0, 0, 0, 0, 0, 0, 0, If, 0, 0, 0, 0, 0, 0, 0, 0
Arja_patch_Defects4J_Lang_60_0_12,1, 0, 0, 0, Return, , , LocalVariable, , , Method, 0, 0, 0, 0, 0, 0, 0, If, 0, 0, 0, 0, 0, 0, 0, 0
Arja_patch_Defects4J_Math_81_0_392,1, 0, 0, 0, , , , , , , If, 0, 0, 0, 0, 0, 0, 0, If, 0, 0, 0, 0, 0, 0, 0, 0
Arja_patch_Defects4J_Math_80_0_339,1, 0, 0, 0, Return, , , , , , Method, 0, 0, 0, 0, 0, 0, 0, If, 0, 0, 0, 0, 0, 0, 0, 0
Arja_patch_Defects4J_Math_81_0_238,1, 0, 0, 0, , , , LocalVariable, LocalVariable, LocalVariable, If, 0, 0, 0, 0, 0, 0, 0, If, 0, 0, 0, 0, 0, 0, 0, 0
Arja_patch_Defects4J_Math_80_0_293,1, 0, 0, 0, If, Assignment, Assignment, , , , For, 0, 0, 0, 0, 0, 0, 0, If, 0, 0, 0, 0, 1, 0, 0, 0
Arja_patch_Defects4J_Lang_63_0_211,1, 0, 0, 0, While, While, While, While, While, LocalVariable, Method, 0, 0, 0, 0, 0, 0, 0, Invocation, 0, 0, 0, 0, 0, 0, 0, 0
GenProg_patch_Defects4J_Chart_1_0_170,1, 0, 0, 0, LocalVariable, If, Return, LocalVariable, LocalVariable, If, Method, 0, 0, 0, 0, 0, 0, 0, LocalVariable, 0, 0, 0, 0, 0, 0, 0, 0
Arja_patch_Defects4J_Lang_59_0_80,1, 0, 0, 0, LocalVariable, LocalVariable, If, , , , If, 1, 0, 0, 0, 0, 0, 0, Invocation, 0, 0, 0, 0, 0, 0, 0, 0
Arja_patch_Defects4J_Chart_1_0_147,1, 0, 0, 0, LocalVariable, If, Return, LocalVariable, LocalVariable, If, Method, 0, 0, 0, 0, 0, 0, 0, Assignment, 0, 0, 0, 0, 0, 0, 0, 0
Arja_patch_Defects4J_Chart_25_0_48,1, 0, 0, 0, Return, , , LocalVariable, LocalVariable, , Method, 0, 0, 0, 0, 0, 0, 0, If, 0, 0, 0, 0, 0, 0, 0, 0
Arja_patch_Defects4J_Math_71_0_41,1, 0, 0, 0, , , , LocalVariable, Invocation, OperatorAssignment, For, 0, 0, 0, 0, 0, 0, 0, If, 0, 0, 0, 0, 0, 0, 0, 0
Arja_patch_Defects4J_Math_80_0_505,1, 0, 0, 0, Return, , , LocalVariable, , , If, 0, 0, 0, 0, 0, 0, 0, Assignment, 0, 0, 0, 0, 0, 0, 0, 0
GenProg_patch_Defects4J_Math_80_0_162,1, 0, 0, 0, Assignment, , , Assignment, Assignment, , If, 0, 0, 0, 0, 0, 0, 0, Assignment, 0, 0, 0, 0, 0, 0, 0, 0
GenProg_patch_Defects4J_Math_81_0_433,1, 0, 0, 0, For, Assignment, If, If, LocalVariable, LocalVariable, If, 0, 0, 0, 0, 0, 0, 0, Assignment, 0, 0, 0, 0, 0, 0, 0, 0
Arja_patch_Defects4J_Lang_51_0_103,1, 0, 0, 0, , , , , , , If, 0, 0, 0, 0, 0, 0, 0, Return, 0, 0, 0, 0, 0, 0, 0, 0
RSRepair_patch_Defects4J_Math_80_0_46,1, 0, 0, 0, Return, , , , , , Method, 0, 0, 0, 0, 0, 0, 0, If, 0, 0, 0, 0, 0, 0, 0, 0
GenProg_patch_Defects4J_Math_80_0_532,1, 0, 0, 0, Assignment, , , Assignment, Assignment, , If, 0, 0, 0, 0, 0, 0, 0, Assignment, 0, 0, 0, 0, 0, 0, 0, 0
Arja_patch_Defects4J_Math_80_0_155,1, 0, 0, 0, , , , Assignment, , , If, 1, 1, 0, 0, 0, 0, 0, Assignment, 0, 0, 0, 0, 0, 0, 0, 0
Arja_patch_Defects4J_Math_81_0_404,1, 0, 0, 0, Assignment, , , Assignment, For, Assignment, If, 0, 0, 0, 0, 0, 0, 0, Assignment, 0, 0, 0, 0, 0, 0, 0, 0
Arja_patch_Defects4J_Chart_15_0_332,1, 0, 0, 0, If, If, LocalVariable, LocalVariable, Invocation, Invocation, Method, 0, 0, 0, 0, 0, 0, 0, If, 0, 0, 0, 0, 0, 0, 0, 0
GenProg_patch_Defects4J_Math_8_0_167,1, 0, 0, 0, If, If, LocalVariable, , , , Method, 0, 0, 0, 0, 0, 0, 0, LocalVariable, 0, 0, 0, 0, 1, 0, 0, 0
Arja_patch_Defects4J_Math_8_0_93,1, 0, 0, 0, LocalVariable, LocalVariable, LocalVariable, If, , , Method, 0, 0, 0, 0, 0, 0, 0, If, 0, 0, 0, 0, 1, 0, 0, 0
Arja_patch_Defects4J_Lang_43_0_20,1, 0, 0, 0, If, , , Invocation, While, LocalVariable, Method, 1, 0, 0, 0, 0, 0, 0, Assignment, 0, 0, 0, 0, 0, 0, 0, 0
GenProg_patch_Defects4J_Math_50_0_189,1, 0, 0, 0, , , , , , , If, 0, 0, 0, 0, 0, 0, 0, If, 0, 0, 0, 0, 0, 0, 0, 0
Arja_patch_Defects4J_Chart_15_0_298,1, 0, 0, 0, If, If, LocalVariable, LocalVariable, Invocation, Invocation, Method, 0, 0, 0, 0, 0, 0, 0, If, 0, 0, 0, 0, 0, 0, 0, 0
Arja_patch_Defects4J_Math_80_0_77,1, 0, 0, 0, Assignment, Assignment, , Assignment, , , If, 0, 0, 0, 0, 0, 0, 0, Assignment, 0, 0, 0, 0, 0, 0, 0, 0
GenProg_patch_Defects4J_Chart_13_0_10,1, 0, 0, 0, Assignment, If, Assignment, If, Assignment, , Method, 0, 0, 0, 0, 0, 0, 0, Assignment, 0, 0, 0, 0, 0, 0, 0, 0
Arja_patch_Defects4J_Lang_50_0_31,1, 0, 0, 0, If, Assignment, Return, If, If, LocalVariable, Method, 1, 0, 1, 0, 0, 0, 0, LocalVariable, 0, 0, 0, 0, 0, 0, 0, 0
Arja_patch_Defects4J_Math_80_0_98,1, 0, 0, 0, , , , Assignment, LocalVariable, , For, 0, 0, 0, 0, 0, 0, 0, If, 0, 0, 0, 0, 0, 0, 0, 0
Arja_patch_Defects4J_Chart_15_0_277,1, 0, 0, 0, If, If, LocalVariable, LocalVariable, Invocation, Invocation, Method, 0, 0, 0, 0, 0, 0, 0, If, 0, 0, 0, 0, 0, 0, 0, 0
