Patches,Labels
GenProg_patch_Defects4J_Chart_1_0_129,Overfitting
GenProg_patch_Defects4J_Chart_1_0_31,Overfitting
GenProg_patch_Defects4J_Chart_1_0_74,Overfitting
GenProg_patch_Defects4J_Chart_1_0_89,Overfitting
GenProg_patch_Defects4J_Chart_1_0_191,Overfitting
GenProg_patch_Defects4J_Chart_1_0_151,Overfitting
GenProg_patch_Defects4J_Chart_1_0_114,Overfitting
GenProg_patch_Defects4J_Chart_1_0_49,Overfitting
GenProg_patch_Defects4J_Chart_25_0_229,Overfitting
GenProg_patch_Defects4J_Chart_13_0_10,Overfitting
GenProg_patch_Defects4J_Chart_1_0_175,Overfitting
GenProg_patch_Defects4J_Chart_1_0_130,Overfitting
GenProg_patch_Defects4J_Chart_1_0_28,Overfitting
GenProg_patch_Defects4J_Chart_1_0_90,Overfitting
GenProg_patch_Defects4J_Chart_1_0_188,Overfitting
GenProg_patch_Defects4J_Chart_13_0_34,Overfitting
GenProg_patch_Defects4J_Chart_25_0_98,Overfitting
GenProg_patch_Defects4J_Chart_25_0_20,Overfitting
GenProg_patch_Defects4J_Chart_1_0_148,Overfitting
GenProg_patch_Defects4J_Chart_1_0_50,Overfitting
GenProg_patch_Defects4J_Chart_25_0_189,Overfitting
GenProg_patch_Defects4J_Chart_1_0_52,Overfitting
GenProg_patch_Defects4J_Chart_25_0_67,Overfitting
GenProg_patch_Defects4J_Chart_25_0_133,Overfitting
GenProg_patch_Defects4J_Chart_1_0_92,Overfitting
GenProg_patch_Defects4J_Chart_1_0_177,Overfitting
GenProg_patch_Defects4J_Chart_1_0_132,Overfitting
GenProg_patch_Defects4J_Chart_1_0_153,Overfitting
GenProg_patch_Defects4J_Chart_1_0_116,Overfitting
GenProg_patch_Defects4J_Chart_13_0_12,Overfitting
GenProg_patch_Defects4J_Chart_12_0_2,Overfitting
GenProg_patch_Defects4J_Chart_1_0_193,Overfitting
GenProg_patch_Defects4J_Chart_25_0_43,Overfitting
GenProg_patch_Defects4J_Chart_1_0_33,Overfitting
GenProg_patch_Defects4J_Chart_13_0_16,Overfitting
GenProg_patch_Defects4J_Chart_1_0_157,Overfitting
GenProg_patch_Defects4J_Chart_1_0_37,Overfitting
GenProg_patch_Defects4J_Chart_1_0_72,Overfitting
GenProg_patch_Defects4J_Chart_1_0_197,Overfitting
GenProg_patch_Defects4J_Chart_13_0_5,Overfitting
GenProg_patch_Defects4J_Chart_1_0_56,Overfitting
GenProg_patch_Defects4J_Chart_13_0_32,Overfitting
GenProg_patch_Defects4J_Chart_1_0_173,Overfitting
GenProg_patch_Defects4J_Chart_1_0_136,Overfitting
GenProg_patch_Defects4J_Chart_1_0_6,Overfitting
GenProg_patch_Defects4J_Chart_1_0_96,Overfitting
GenProg_patch_Defects4J_Chart_13_0_30,Overfitting
GenProg_patch_Defects4J_Chart_25_0_108,Overfitting
GenProg_patch_Defects4J_Chart_1_0_94,Overfitting
GenProg_patch_Defects4J_Chart_1_0_171,Overfitting
GenProg_patch_Defects4J_Chart_1_0_134,Overfitting
GenProg_patch_Defects4J_Chart_1_0_69,Overfitting
GenProg_patch_Defects4J_Chart_25_0_24,Overfitting
GenProg_patch_Defects4J_Chart_1_0_109,Overfitting
GenProg_patch_Defects4J_Chart_1_0_54,Overfitting
GenProg_patch_Defects4J_Chart_25_0_170,Overfitting
GenProg_patch_Defects4J_Chart_1_0_208,Overfitting
GenProg_patch_Defects4J_Chart_13_0_7,Overfitting
GenProg_patch_Defects4J_Chart_1_0_195,Overfitting
GenProg_patch_Defects4J_Chart_1_0_168,Overfitting
GenProg_patch_Defects4J_Chart_1_0_35,Overfitting
GenProg_patch_Defects4J_Chart_1_0_70,Overfitting
GenProg_patch_Defects4J_Chart_13_0_29,Overfitting
GenProg_patch_Defects4J_Chart_13_0_14,Overfitting
GenProg_patch_Defects4J_Chart_1_0_155,Overfitting
GenProg_patch_Defects4J_Chart_1_0_110,Overfitting
GenProg_patch_Defects4J_Chart_25_0_85,Overfitting
GenProg_patch_Defects4J_Chart_1_0_133,Overfitting
GenProg_patch_Defects4J_Chart_1_0_176,Overfitting
GenProg_patch_Defects4J_Chart_1_0_53,Overfitting
GenProg_patch_Defects4J_Chart_25_0_66,Overfitting
GenProg_patch_Defects4J_Chart_25_0_116,Overfitting
GenProg_patch_Defects4J_Chart_1_0_192,Overfitting
GenProg_patch_Defects4J_Chart_25_0_42,Overfitting
GenProg_patch_Defects4J_Chart_1_0_32,Overfitting
GenProg_patch_Defects4J_Chart_13_0_13,Overfitting
GenProg_patch_Defects4J_Chart_1_0_117,Overfitting
GenProg_patch_Defects4J_Chart_1_0_152,Overfitting
GenProg_patch_Defects4J_Chart_13_0_11,Overfitting
GenProg_patch_Defects4J_Chart_1_0_115,Overfitting
GenProg_patch_Defects4J_Chart_1_0_150,Overfitting
GenProg_patch_Defects4J_Chart_1_0_48,Overfitting
GenProg_patch_Defects4J_Chart_1_0_128,Overfitting
GenProg_patch_Defects4J_Chart_1_0_75,Overfitting
GenProg_patch_Defects4J_Chart_25_0_114,Overfitting
GenProg_patch_Defects4J_Chart_1_0_88,Overfitting
GenProg_patch_Defects4J_Chart_12_0_1,Overfitting
GenProg_patch_Defects4J_Chart_1_0_149,Overfitting
GenProg_patch_Defects4J_Chart_1_0_51,Overfitting
GenProg_patch_Defects4J_Chart_13_0_35,Overfitting
GenProg_patch_Defects4J_Chart_25_0_59,Overfitting
GenProg_patch_Defects4J_Chart_1_0_131,Overfitting
GenProg_patch_Defects4J_Chart_1_0_174,Overfitting
GenProg_patch_Defects4J_Chart_1_0_29,Overfitting
GenProg_patch_Defects4J_Chart_1_0_91,Overfitting
GenProg_patch_Defects4J_Chart_1_0_189,Overfitting
GenProg_patch_Defects4J_Chart_25_0_25,Overfitting
GenProg_patch_Defects4J_Chart_1_0_108,Overfitting
GenProg_patch_Defects4J_Chart_1_0_55,Overfitting
GenProg_patch_Defects4J_Chart_25_0_134,Overfitting
GenProg_patch_Defects4J_Chart_13_0_6,Overfitting
GenProg_patch_Defects4J_Chart_1_0_95,Overfitting
GenProg_patch_Defects4J_Chart_25_0_208,Overfitting
GenProg_patch_Defects4J_Chart_1_0_135,Overfitting
GenProg_patch_Defects4J_Chart_1_0_170,Overfitting
GenProg_patch_Defects4J_Chart_1_0_68,Overfitting
GenProg_patch_Defects4J_Chart_13_0_31,Overfitting
GenProg_patch_Defects4J_Chart_1_0_111,Overfitting
GenProg_patch_Defects4J_Chart_1_0_154,Overfitting
GenProg_patch_Defects4J_Chart_13_0_15,Overfitting
GenProg_patch_Defects4J_Chart_13_0_28,Overfitting
GenProg_patch_Defects4J_Chart_1_0_194,Overfitting
GenProg_patch_Defects4J_Chart_1_0_169,Overfitting
GenProg_patch_Defects4J_Chart_1_0_71,Overfitting
GenProg_patch_Defects4J_Chart_1_0_34,Overfitting
GenProg_patch_Defects4J_Chart_25_0_211,Overfitting
GenProg_patch_Defects4J_Chart_1_0_73,Overfitting
GenProg_patch_Defects4J_Chart_1_0_36,Overfitting
GenProg_patch_Defects4J_Chart_1_0_196,Overfitting
GenProg_patch_Defects4J_Chart_1_0_113,Overfitting
GenProg_patch_Defects4J_Chart_1_0_156,Overfitting
GenProg_patch_Defects4J_Chart_13_0_17,Overfitting
GenProg_patch_Defects4J_Chart_1_0_137,Overfitting
GenProg_patch_Defects4J_Chart_1_0_172,Overfitting
GenProg_patch_Defects4J_Chart_1_0_97,Overfitting
GenProg_patch_Defects4J_Chart_13_0_33,Overfitting
GenProg_patch_Defects4J_Chart_13_0_4,Overfitting
GenProg_patch_Defects4J_Chart_1_0_57,Overfitting
